1957-07-01,"		108",22.4,17.8,31
1957-08-01,"		108",24.1,16,33.5
1957-09-01,"		108",18.9,6.6,29
1957-10-01,"		108",12.5,-0.4,27.2
1957-11-01,"		108",8.3,-5.8,17.5
1957-12-01,"		108",-0.5,-10.6,9.6
1958-01-01,"		108",-6,-18.2,8.6
1958-02-01,"		108",-0.8,-12.4,14.1
1958-03-01,"		108",3.7,-11.2,21.5
1958-04-01,"		108",10.8,1.3,27.3
1958-05-01,"		108",16.3,7.3,29.9
1958-06-01,"		108",22.2,13.2,37.2
1958-07-01,"		108",25.6,19.4,34.4
1958-08-01,"		108",23.8,16.2,33.2
1958-09-01,"		108",19.8,6.6,28.8
1958-10-01,"		108",12.7,-1.8,25
1958-11-01,"		108",6.7,-3.3,18.9
1958-12-01,"		108",4,-3.2,12.1
1959-01-01,"		108",-5.1,-19.8,9.8
1959-02-01,"		108",2.4,-8,13.7
1959-03-01,"		108",6,-5,18.2
1959-04-01,"		108",10.2,2,24.2
1959-05-01,"		108",17.9,9.6,27.6
1959-06-01,"		108",20.4,11.8,31.8
1959-07-01,"		108",24.4,18.7,33.6
1959-08-01,"		108",25.8,18.8,36.2
1959-09-01,"		108",20.8,12.4,30.2
1959-10-01,"		108",14.8,1.9,27.3
1959-11-01,"		108",5.8,-5.5,19.5
1959-12-01,"		108",1.1,-12.9,14.3
1960-01-01,"		108",-3.3,-17,10.8
1960-02-01,"		108",1.7,-8.6,13.7
